source,target,comparison,metric,n,full_value,proxy_or_ablation_value,delta_full_better,ci95_low,ci95_high,p_two_sided,claim_boundary
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_no_image_pt,log_mae,3087,0.8823266413231419,0.9306558338386947,0.04832919251555279,0.03219150279217563,0.06667348594844737,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_no_image_pt,spearman,3087,0.8520443775475075,0.829278332747127,0.02276604480038047,0.015933912566588323,0.0297633328308843,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_cover_pt,log_mae,3087,0.8823266413231419,0.9059115949429778,0.023584953619835924,0.012871891635537305,0.033175836808212816,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_cover_pt,spearman,3087,0.8520443775475075,0.8443012313636826,0.007743146183824878,0.0045302704016983945,0.011247839331039294,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_banner_pt,log_mae,3087,0.8823266413231419,0.8947567931144547,0.012430151791312793,-0.00365735100104072,0.0267494922616685,0.104,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_banner_pt,spearman,3087,0.8520443775475075,0.8384963265624288,0.013548050985078719,0.008165787109749764,0.018754315976075353,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_yolo_pt,log_mae,3087,0.8823266413231419,0.9279902544479971,0.04566361312485523,0.0321017668998276,0.060695238359979586,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_yolo_pt,spearman,3087,0.8520443775475075,0.8436963972608548,0.008347980286652734,0.003963982846759429,0.012877160562786524,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_cover_banner_pt,log_mae,3087,0.8823266413231419,0.9367099734068738,0.05438333208373192,0.04148217256394912,0.06596997663903664,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,popularity,CARMA-full-ablation vs abl_img_cover_banner_pt,spearman,3087,0.8520443775475075,0.84813281894863,0.003911558598877485,0.0004002159432382497,0.007647838337108729,0.036,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_no_image_pt,mae,3087,7.591143747132238,8.635187932840307,1.044044185708069,0.89287958614515,1.1862366231901238,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_no_image_pt,spearman,3087,0.5423719883665081,0.5168487112351032,0.025523277131404898,0.010119957617407308,0.04088497971196233,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_cover_pt,mae,3087,7.591143747132238,8.051183682988777,0.460039935856539,0.3557688574776902,0.5500208923366593,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_cover_pt,spearman,3087,0.5423719883665081,0.5125298174927083,0.02984217087379981,0.018883477570871405,0.04059896394393009,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_banner_pt,mae,3087,7.591143747132238,8.261589960590825,0.6704462134585878,0.5409678396693219,0.7955347259402671,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_banner_pt,spearman,3087,0.5423719883665081,0.5419277484934066,0.00044423987310149293,-0.012411042419345644,0.013451586511573662,0.972,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_yolo_pt,mae,3087,7.591143747132238,8.201988714976578,0.61084496784434,0.4585806067612332,0.7416736608137557,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_yolo_pt,spearman,3087,0.5423719883665081,0.5187807910717046,0.023591197294803523,0.00722199413989316,0.038436566560934776,0.012,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_cover_banner_pt,mae,3087,7.591143747132238,7.937163625892829,0.3460198787605915,0.2740616810736885,0.4214054332159675,0.0,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
carma_image_source_ablation,meanScore,CARMA-full-ablation vs abl_img_cover_banner_pt,spearman,3087,0.5423719883665081,0.5390414458126387,0.003330542553869442,-0.00427794602763267,0.011133579605821592,0.436,Image-source ablation inside CARMA; not a CNN-vs-Swin replacement.
